team_name,video_id,published_date,likes,views,comment
São Paulo,20WrZyW1KJQ,2024-06-03T23:10:57Z,4509,44365,376
São Paulo,ddEZXb131x0,2024-05-31T03:15:17Z,9998,148151,893
São Paulo,xa5QpYBNlyQ,2024-05-24T22:56:22Z,4673,56516,294
São Paulo,qy3TJejV5lc,2024-05-14T23:45:34Z,26461,251227,879
São Paulo,cvesVnaEMhQ,2024-05-10T00:53:35Z,19361,172456,447
São Paulo,kC5KZVRsQW0,2024-05-06T23:53:26Z,19490,170288,452
São Paulo,pPQ2B1-dlZo,2024-05-04T00:20:51Z,17606,159245,571
São Paulo,1ox5KEr4pf4,2024-04-26T22:07:40Z,25332,264340,661
São Paulo,CqP2TOfncWo,2024-04-22T23:32:03Z,16184,158345,365
São Paulo,w_yY7Ma38lo,2024-04-11T23:57:57Z,15829,147005,713
São Paulo,1tG4xZvoPdg,2024-03-12T00:40:55Z,18445,213384,567
São Paulo,GCwC9PZlNXY,2024-03-01T01:55:38Z,32576,307970,1006
São Paulo,8rFe5AgsHrY,2024-02-09T00:08:23Z,25731,240439,526
São Paulo,y--MHFBIt8w,2024-02-07T02:10:18Z,107134,943770,5532
São Paulo,F0xc2yxbGk0,2024-02-01T00:51:14Z,72171,580735,2860
São Paulo,8p0g0RAC3Y8,2024-01-29T00:04:06Z,15522,144544,443
São Paulo,2lyQdVpsKvw,2024-01-21T23:53:50Z,35480,297688,980
